deployment name,protocol name,protocol type,network,status,slug,query-id
biswap-bsc,biswap,dex-amm,bsc,prod,biswap-bsc,EnAR2ancKqJqpCU6cJ8aq9xHquTSWsK2wQWVfdDSwacN
camelot-v2-arbitrum,camelot-v2,dex-amm,arbitrum,prod,camelot-v2-arbitrum,E6J42xXvRQGsqcMEoWRkdeJjUTsWdcHL8khuFMY6CDAM
curve-finance-aurora,curve-finance,dex-amm,aurora,prod,curve-finance-aurora,9zXFpPQHyTmXXygtNPwjBS6d4SMGzv7qMiha4bJ3fbyB
curve-finance-avalanche,curve-finance,dex-amm,avalanche,prod,curve-finance-avalanche,2Vt8WtdXNZUEeaVtzyEd1dpioJf44nvomzkd4HhubfKS
curve-finance-ethereum,curve-finance,dex-amm,ethereum,prod,curve-finance-ethereum,3fy93eAT56UJsRCEht8iFhfi6wjHWXtZ9dnnbQmvFopF
curve-finance-gnosis,curve-finance,dex-amm,gnosis,prod,curve-finance-gnosis,J8k2z8MhdhABfVZU5HtyRvzCT85bLLF886V4iDpt53Jr
curve-finance-harmony,curve-finance,dex-amm,harmony,prod,curve-finance-harmony,6gnHHn7562tDjCrrnSiMiR1H1NndrannPQ7LcYxMgF9t
curve-finance-optimism,curve-finance,dex-amm,optimism,prod,curve-finance-optimism,CXDZPduZE6nWuWEkSzWkRoJSSJ6CneSqiDxdnhhURShX
ellipsis-finance-bsc,ellipsis-finance,dex-amm,bsc,prod,ellipsis-finance-bsc,3oK7vysHSCqXkQ5L3G6S4ifBG3Xr5mjkEEzZKtGEg5x1
honeyswap-gnosis,honeyswap,dex-amm,gnosis,prod,honeyswap-gnosis,33aQTj7abtAR5zGcG9JBd1fd1sodgKDjoTsKuA8QrUW7
honeyswap-polygon,honeyswap,dex-amm,polygon,prod,honeyswap-polygon,7YaQPHXFrPCwbt2MUPQ5N5PgmgMch14Ab5cZVYxvtPgW
mm-finance-polygon,mm-finance,dex-amm,polygon,prod,mm-finance-polygon,7B7R7aie7erfqUijkH2HNQcZ8bK6DpuXJaB5myt6nrs7
pancakeswap-v3-bsc,pancakeswap-v3,dex-amm,bsc,prod,pancakeswap-v3-bsc,A1BC1hzDsK4NTeXBpKQnDBphngpYZAwDUF7dEBfa3jHK
pancakeswap-v3-ethereum,pancakeswap-v3,dex-amm,ethereum,prod,pancakeswap-v3-ethereum,JAGXF8B14mpB8QGKnwhKTs5JxsQZBJQvbDGFcWwL7gbm
pangolin-avalanche,pangolin,dex-amm,avalanche,prod,pangolin-avalanche,6f3YqP75bLuLZAv7Cm1BohFot17kT3Svekg6giuvaTmg
platypus-finance-avalanche,platypus-finance,dex-amm,avalanche,prod,platypus-finance-avalanche,B35cLTayreXTML6fXPTrFNSYx7mKyDuuV51LjVxWwWjp
saddle-finance-arbitrum,saddle-finance,dex-amm,arbitrum,prod,saddle-finance-arbitrum,H36tAWQeYVioE4hHtaKJEMJMxwzVJWjfg2mimva2wcUj
saddle-finance-ethereum,saddle-finance,dex-amm,ethereum,prod,saddle-finance-ethereum,H36tAWQeYVioE4hHtaKJEMJMxwzVJWjfg2mimva2wcUj
saddle-finance-fantom,saddle-finance,dex-amm,fantom,prod,saddle-finance-fantom,DToFejYjMRXcCrBrsdP9AZGBqwxpEumNHReRTfAmqgeP
